Sample,AUC,Day
Solvent Blank,2.28,3
Media Blank,10.29,3
D. catenulata 135E,8.85,3
Brevibacterium sp. JB5,7.9,3
Penicillium sp. JBC,15.23,3
Penicillium sp. JBC + D. catenulata 135E,9.12,3
Penicillium sp. JBC + Brevibacterium sp. JB5,13.62,3
Solvent Blank,3.26,7
Media Blank,12.84,7
D. catenulata 135E,11.54,7
Brevibacterium sp. JB5,11.42,7
Penicillium sp. JBC,164.62,7
Penicillium sp. JBC + D. catenulata 135E,11.66,7
Penicillium sp. JBC + Brevibacterium sp. JB5,154.15,7
Solvent Blank,5.04,21
Media Blank,14.12,21
D. catenulata 135E,15.56,21
Brevibacterium sp. JB5,13.8,21
Penicillium sp. JBC,130.91,21
Penicillium sp. JBC + D. catenulata 135E,20.65,21
Penicillium sp. JBC + Brevibacterium sp. JB5,122.89,21
